Date,HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
06/12/2025,Southampton,Birmingham,3,1,8,4
06/12/2025,Swansea,Oxford,2,0,4,4
09/12/2025,Blackburn,Oxford,1,1,5,1
09/12/2025,Charlton,Middlesbrough,1,2,3,7
09/12/2025,Preston,Coventry,1,1,2,5
09/12/2025,Sheffield United,Norwich,1,1,4,6
09/12/2025,Southampton,West Brom,3,2,4,7
09/12/2025,Swansea,Portsmouth,1,0,6,3
09/12/2025,Watford,Sheffield Weds,1,1,9,1
09/12/2025,QPR,Birmingham,2,1,3,1
10/12/2025,Bristol City,Leicester,2,2,11,5
10/12/2025,Derby,Millwall,1,1,4,2
10/12/2025,Ipswich,Stoke,1,0,6,1
10/12/2025,Hull,Wrexham,2,0,6,1
12/12/2025,West Brom,Sheffield United,2,0,5,3
13/12/2025,Norwich,Southampton,2,1,5,4
13/12/2025,Oxford,Preston,1,2,8,2
13/12/2025,Stoke,Swansea,2,1,5,6
13/12/2025,Birmingham,Charlton,1,1,5,1
13/12/2025,Coventry,Bristol City,1,0,4,8
13/12/2025,Leicester,Ipswich,3,1,4,2
13/12/2025,Middlesbrough,QPR,3,1,7,5
13/12/2025,Millwall,Hull,1,3,6,6
13/12/2025,Portsmouth,Blackburn,2,1,7,2
13/12/2025,Wrexham,Watford,2,2,3,3
15/12/2025,Sheffield Weds,Derby,0,3,1,7
19/12/2025,Swansea,Wrexham,2,1,5,1
20/12/2025,Blackburn,Millwall,2,0,5,3
20/12/2025,Preston,Norwich,1,1,4,1
20/12/2025,Southampton,Coventry,1,1,7,4
20/12/2025,Bristol City,Middlesbrough,2,0,8,3
20/12/2025,Charlton,Oxford,1,0,4,1
20/12/2025,Derby,Portsmouth,1,1,6,1
20/12/2025,Hull,West Brom,1,0,1,1
20/12/2025,Ipswich,Sheffield Weds,3,1,8,3
20/12/2025,QPR,Leicester,4,1,6,2
20/12/2025,Sheffield United,Birmingham,3,0,9,1
20/12/2025,Watford,Stoke,1,0,5,1
26/12/2025,Birmingham,Derby,1,1,9,1
26/12/2025,Millwall,Ipswich,0,0,6,4
26/12/2025,Coventry,Swansea,1,0,7,2
26/12/2025,Leicester,Watford,1,2,2,3
26/12/2025,Middlesbrough,Blackburn,0,0,2,2
26/12/2025,Norwich,Charlton,1,0,5,0
26/12/2025,Oxford,Southampton,2,1,6,5
26/12/2025,Portsmouth,QPR,1,1,2,3
26/12/2025,Sheffield Weds,Hull,2,2,3,6
26/12/2025,Stoke,Preston,0,0,3,4
26/12/2025,West Brom,Bristol City,1,2,4,3
26/12/2025,Wrexham,Sheffield United,5,3,8,7
29/12/2025,Coventry,Ipswich,0,2,3,7
29/12/2025,Leicester,Derby,2,1,2,2
29/12/2025,Middlesbrough,Hull,0,1,5,1
29/12/2025,Millwall,Bristol City,2,1,2,3
29/12/2025,Norwich,Watford,0,1,1,2
29/12/2025,Oxford,Swansea,0,1,2,5
29/12/2025,Portsmouth,Charlton,2,1,5,4
29/12/2025,Sheffield Weds,Blackburn,0,0,0,2
29/12/2025,Stoke,Sheffield United,1,2,3,4
29/12/2025,West Brom,QPR,2,1,4,0
29/12/2025,Wrexham,Preston,2,1,6,4
29/12/2025,Birmingham,Southampton,1,1,4,5
01/01/2026,Blackburn,Wrexham,0,2,1,3
01/01/2026,Bristol City,Portsmouth,5,0,7,2
01/01/2026,Charlton,Coventry,1,1,3,7
01/01/2026,Derby,Middlesbrough,1,0,3,5
01/01/2026,Hull,Stoke,0,1,1,6
01/01/2026,Ipswich,Oxford,2,1,6,1
01/01/2026,Preston,Sheffield Weds,3,0,7,1
01/01/2026,QPR,Norwich,1,2,2,5
01/01/2026,Southampton,Millwall,0,0,2,3
01/01/2026,Swansea,West Brom,1,0,3,7
01/01/2026,Watford,Birmingham,3,0,6,2
01/01/2026,Sheffield United,Leicester,3,1,5,1
04/01/2026,Birmingham,Coventry,3,2,4,6
04/01/2026,QPR,Sheffield Weds,3,0,7,2
04/01/2026,Blackburn,Charlton,2,2,5,4
04/01/2026,Bristol City,Preston,0,2,2,3
04/01/2026,Derby,Wrexham,1,2,5,3
04/01/2026,Middlesbrough,Southampton,4,0,5,5
04/01/2026,Millwall,Swansea,2,1,9,7
04/01/2026,Norwich,Stoke,0,2,1,4
05/01/2026,Leicester,West Brom,2,1,3,8
16/01/2026,West Brom,Middlesbrough,2,3,6,5
17/01/2026,Coventry,Leicester,2,1,6,6
17/01/2026,Ipswich,Blackburn,3,0,7,0
17/01/2026,Watford,Millwall,0,2,3,4
