Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgCH,AvgCD,AvgCA
24/02/2024,Aston Villa,Nott'm Forest,4,2,1.58,4.51,5.39
24/02/2024,Brighton,Everton,1,1,1.87,3.93,4.0
24/02/2024,Crystal Palace,Burnley,3,0,2.0,3.44,4.0
24/02/2024,Man United,Fulham,1,2,1.65,4.27,5.0
24/02/2024,Bournemouth,Man City,0,1,6.53,4.89,1.46
24/02/2024,Arsenal,Newcastle,4,1,1.35,5.63,8.17
25/02/2024,Wolves,Sheffield United,1,0,1.48,4.53,6.85
26/02/2024,West Ham,Brentford,4,2,2.36,3.53,3.01
02/03/2024,Brentford,Chelsea,2,2,3.23,3.72,2.18
02/03/2024,Everton,West Ham,1,3,2.13,3.53,3.45
02/03/2024,Fulham,Brighton,3,0,2.56,3.49,2.76
02/03/2024,Newcastle,Wolves,3,0,1.74,4.19,4.47
02/03/2024,Nott'm Forest,Liverpool,0,1,5.23,4.44,1.6
02/03/2024,Tottenham,Crystal Palace,3,1,1.53,4.58,5.93
02/03/2024,Luton,Aston Villa,2,3,4.5,4.41,1.7
03/03/2024,Burnley,Bournemouth,0,2,3.66,3.74,2.01
03/03/2024,Man City,Man United,3,1,1.26,6.76,10.21
04/03/2024,Sheffield United,Arsenal,0,6,16.8,7.57,1.18
09/03/2024,Man United,Everton,2,0,1.91,3.77,3.99
09/03/2024,Bournemouth,Sheffield United,2,2,1.35,5.64,8.41
09/03/2024,Crystal Palace,Luton,1,1,1.89,3.76,4.11
09/03/2024,Wolves,Fulham,2,1,2.49,3.44,2.88
09/03/2024,Arsenal,Brentford,2,1,1.21,7.14,13.36
10/03/2024,Aston Villa,Tottenham,0,4,2.48,3.9,2.62
10/03/2024,Brighton,Nott'm Forest,1,0,1.64,4.3,5.08
10/03/2024,West Ham,Burnley,2,2,1.65,4.08,5.31
10/03/2024,Liverpool,Man City,1,1,3.4,3.88,2.05
11/03/2024,Chelsea,Newcastle,3,2,1.85,4.17,3.84
13/03/2024,Bournemouth,Luton,4,3,1.52,4.87,5.65
16/03/2024,Burnley,Brentford,2,1,3.12,3.64,2.26
16/03/2024,Luton,Nott'm Forest,1,1,2.63,3.58,2.64
16/03/2024,Fulham,Tottenham,3,0,3.34,3.94,2.05
17/03/2024,West Ham,Aston Villa,1,1,2.45,3.63,2.77
30/03/2024,Newcastle,West Ham,4,3,1.86,4.13,3.86
30/03/2024,Bournemouth,Everton,2,1,2.2,3.69,3.19
30/03/2024,Chelsea,Burnley,2,2,1.27,6.53,10.45
30/03/2024,Nott'm Forest,Crystal Palace,1,1,2.26,3.35,3.34
30/03/2024,Sheffield United,Fulham,3,3,4.8,4.06,1.71
30/03/2024,Tottenham,Luton,2,1,1.21,7.95,11.35
30/03/2024,Aston Villa,Wolves,2,0,1.54,4.41,6.24
30/03/2024,Brentford,Man United,1,1,3.31,3.98,2.06
31/03/2024,Liverpool,Brighton,2,1,1.3,6.29,8.95
31/03/2024,Man City,Arsenal,0,0,2.06,3.62,3.61
02/04/2024,Newcastle,Everton,1,1,2.02,3.75,3.61
02/04/2024,Nott'm Forest,Fulham,3,1,2.71,3.44,2.63
02/04/2024,Bournemouth,Crystal Palace,1,0,1.89,3.78,4.04
02/04/2024,Burnley,Wolves,1,1,2.35,3.52,3.03
02/04/2024,West Ham,Tottenham,1,1,3.39,4.16,1.99
03/04/2024,Arsenal,Luton,2,0,1.13,9.75,19.39
03/04/2024,Brentford,Brighton,0,0,2.49,3.74,2.7
03/04/2024,Man City,Aston Villa,4,1,1.23,6.93,12.59
